DIA,MES,Anio,COD007,NOMBRE,PROV,CANTON,DISTRITO ,APODERADO,CEDULA,TERMINAL
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF1199
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF1200
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0001
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0006
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0002
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0003
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0004
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0005
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0007
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0088
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0089
02,10,15,10151139,BAC FLOTA SERVICENTRO G24,SAN JOSE,"FTE DISTRITO 4,BO GUACHIPELIN,","SAN RAFAEL,ESCAZU,SAN JOSE",3101641580 SOCIEDAD ANONIM    ,3101641580,BACF0090
